gene_id,zoospore-A,zoospore-B,germinating cyst-A,germinating cyst-B,mycelia_48h-A,mycelia_48h-B,mycelia_96h-A,mycelia_96h-B,Early infection-A,Early infection-B,Late infection-A,Late infection-B
g18958,10.19145926,8.071807823,5.393606846,4.304643296,5.669426482,4.829943498,0.58923806,1.67957723,0.917622584,1.314470658,1.594974116,1.703963194
g18959,9.88105289,5.027576029,31.4239499,37.13524416,25.41305528,18.16476746,11.52410847,19.42897547,10.57600201,12.08970944,15.4233858,11.5224499
g18960,4.998743061,4.251805459,6.548703258,11.76879976,4.431716688,3.446577328,2.448629295,3.770107558,2.156995187,1.332929059,2.672178959,1.191108554
g18961,7.626287491,6.601877874,31.5504327,21.14724684,26.7375075,23.15936813,7.52370658,18.1649698,9.140107563,12.04499898,7.735439812,6.70967659
g18974,0.076973399,0.080580483,0.254755047,0.082063001,0.521120836,0.50949404,0.329064806,0.722452173,0.683271767,0.602071821,0,0.220096146
g18977,45.08880406,34.44884127,26.66751153,23.23866906,27.19493648,24.26987064,49.73133871,82.05471086,53.5298195,68.37241637,68.15226541,58.60272497
g18978,25.03706312,12.77589234,53.57701228,34.33815879,32.85442021,27.48164298,0.806793409,2.024332992,4.932620973,6.262436017,1.434807879,1.259128713
g18979,30.99964987,20.93699223,50.43219982,40.81676494,22.31358322,21.95082391,0,0.143657637,0,0.050790444,0.203643481,0
g18980,45.80672562,29.88745158,80.56172013,45.19293818,39.03779495,39.48102646,18.19620741,20.1881495,15.50718269,17.45957128,27.73738408,24.83795291
g18981,44.57895451,30.26127366,65.31752344,41.15257696,37.38889444,37.10357532,14.80611812,17.47251426,20.26666204,23.93930878,31.27763568,26.97079821
g18982,0.364491682,1.144716854,0.402113358,0.77718489,2.820183347,6.548496924,0,0,0,0,0,0
g18983,3.762074856,4.633377744,5.126945314,6.370140437,44.30457677,57.12701921,0,0,0,0,1.261862286,0
g19000,76.95444341,44.72712865,27.16172026,41.10933054,27.08267585,16.76837289,95.14553896,88.27980886,86.94377438,36.04034161,2449.616933,2294.697881
g19014,2.15525516,1.128126755,0,0,0.260560418,0,0,0,0,0,0,0
g19016,0.23718119,0.06207396,0.06541557,0.189647988,0.172044678,0.168206166,0.844967047,1.311821051,1.096558558,1.560044297,1.183373244,1.102060367
g19017,0.192508228,0.10076472,0.053094579,0.153927881,0,0.091016411,0.068581791,0.032264854,0,0,0,0
g19020,1.46876648,0.192199373,0.202545988,0,0.532701299,0.173605377,0.392440251,0.615422221,0.543243232,0.39165076,0.52343917,1.312425166
g19021,0.037440233,0,0.041304695,0.03991584,0,0.070805818,1.200440344,1.255015104,0.33234669,0.718815217,0.960692737,0.80291872
g19022,1.239271717,0.648672884,1.6406225,2.246064332,2.876587014,1.523387179,0.529794338,0.664655999,0.641706068,0.176242842,0.35332144,0.354354795
g19023,0.956630799,0.910418083,2.110742398,2.781503817,3.364429256,2.220321395,1.796963253,2.915157891,1.350960143,1.669669031,1.239724351,1.616355205
g19024,0.908366704,1.086781795,3.86534097,5.118840794,6.149771539,5.644447059,2.126574133,3.740864916,1.439878986,1.753201048,0.739940189,3.710521413
g19025,0.843041985,1.235567398,5.580348641,12.40323641,11.57809966,9.247143525,0.240269541,1.017330611,0.249448423,0.35967927,0,0.723173051
g19034,3.822629178,2.323604361,3.400958749,2.892210436,3.875998256,5.013826919,0,0,0,0,0,0
g19035,0.346649431,0.181446961,0,0.184785219,0,0,1.605437389,0.464794405,0.128213001,0.246493486,0.49415586,0.495601112
g19036,3.304724579,3.113629844,4.192701945,11.27436214,9.269002599,6.406038394,2.354641504,2.990951996,1.344527,0.587476141,2.355476267,1.889892239
g19037,0.250357923,0,0.276199074,0.800735947,0.726410862,0.946938417,0.713527728,2.014109088,2.037162121,0.356046146,1.427561374,0.357934136
g19038,0.186356649,0.585268768,2.878285088,3.178861505,3.244271068,1.40972787,7.701271084,9.495085701,5.514123034,5.168023192,10.09489829,10.65728706
g19039,0,0.061195555,0,0,0,0,0.041650498,0.117568868,0.043241649,0.041566708,0,0.167148488
g19041,0,0.012788031,0,0,0,0,0.008703702,0.024568359,0.027108614,0.008686192,0,0
g19042,0,0,0,0,0,0.03112447,0.023452605,0,0.121742756,0.046810848,0,0.04705907
g19044,29.36052348,33.52639064,22.98243586,26.66106302,42.05762674,38.93520582,1.519123551,0.833797848,1.182868328,0.600110036,1.393023599,1.714619975
g19045,0.495708687,0.345958872,2.005205278,2.642428626,1.438293507,0.624979356,2.825569804,2.769399996,1.833445909,1.644933194,2.355476267,4.016021009
g19046,0,0.068642633,0,0,0,0,0.046719077,0.04395873,0.04850386,0,0,0
g19047,4.130905724,3.555688402,9.06393295,7.144344063,6.059477274,5.381766672,6.426209104,14.72397665,7.401689039,9.644399976,6.412129839,6.266830169
g19048,12.82430434,12.0052892,14.69214179,21.82304238,7.871257997,6.646235684,17.74767104,27.44599399,13.9560808,13.15245091,12.65629039,13.57478568
g19049,1.623500066,1.586274302,6.567266195,7.038783676,9.525815802,4.298438799,14.57512809,23.21942355,12.00947102,15.62327378,14.19457314,13.77186757
g19050,35.86142532,31.29846666,94.07944651,133.112342,90.7173665,68.99186167,72.84672152,117.4052511,75.85882448,68.23902547,73.75585062,70.87095898
g19051,34.07997222,22.00854428,22.70504353,16.51517891,34.24508349,39.9679878,9.460613185,10.38524998,11.62273746,11.48725668,7.571173716,13.28830481
g19056,0.563305326,0.737128277,0.776809896,0.60055196,1.089616293,0.665816075,0,0,0,0,0,0
g19057,0.29331875,0.307064087,0,0.156356723,0,0,0,0,0,0,0,0
g19083,0.56698706,0.847938411,0.268075572,0.51812326,0.783384263,0.689315466,0,0,0,0,0,0
g19088,6.119860332,5.28548276,16.37246734,16.80062645,5.770930737,3.906120972,1.308134169,1.948837034,2.376689141,2.502213192,0.872398617,2.406112805
g19089,3.161927838,1.761827587,0.450102195,0.543709594,0.295945166,0.096447431,0.254359422,0.717992592,0.075450449,0,0.436199309,0.437475055
g19090,1.866685432,1.302773993,1.144088215,1.658428008,0.90269467,1.176739372,1.403918051,3.615283677,1.073985051,1.106126625,2.660998294,1.63092165
g19091,12.2871574,2.431141985,5.263780311,5.807040762,4.124578199,3.473586282,1.26356401,2.972269161,2.217626227,3.542871445,1.444585104,2.535417613
g19092,11.30153453,3.590139233,3.697419681,2.409761954,3.015290371,2.137311475,0.833009966,1.201815093,1.095455103,1.607246045,0.666644227,1.114323254
g19095,24.34018702,25.63617387,18.28371715,19.88414355,34.78507583,32.8394841,0.035249124,0.033166467,0,0,0,0
g19096,1.321889832,0.691917743,1.093748334,2.818590534,1.917724676,1.718693228,3.767426406,2.437071996,1.588986454,2.584895019,0,3.071074889
g19097,0,0,0,0,0,0.06200192,0,0,0.04850386,0,0,0
g19098,3.781525638,3.657525383,5.350841765,6.134991835,6.161843382,4.275356288,6.823774507,13.66788456,6.902026887,8.388340914,7.734399683,6.052826513
g19099,3.742638776,3.398286296,10.99646822,8.835239011,9.4925894,8.45022164,17.8502869,28.0097713,17.34569781,22.62099962,20.14313295,19.60144397
g19100,19.78754841,23.38425706,2.025459877,2.718547969,1.381077441,1.35026404,10.90111807,22.22358021,8.978603422,11.16929946,12.50438018,10.06192627
g19101,6.790147177,5.49945895,17.4173565,22.28338909,15.99905592,10.54256325,23.59287076,35.16232554,15.23393049,16.33276396,22.14731913,20.49425138
g19102,10.27291029,11.77853395,12.59249726,20.51359065,14.50910116,11.10160697,18.47309206,40.44781573,16.40451603,19.71137051,15.80648548,21.44779022
g19103,4.448667703,5.655096939,3.856163997,4.40404771,6.761208793,10.51647954,8.150682128,11.92972306,5.641372027,8.81214211,3.623809642,8.631719363
g19104,5.287559327,4.459025456,7.372673952,7.242211789,6.534469265,5.173440221,11.24995385,17.55184175,10.37594574,13.55111631,12.14378876,12.75677262
g19105,5.031629529,4.096881374,4.934203009,7.748474918,4.505932039,2.819455739,15.00420056,18.74030072,7.719772247,12.72128786,14.87669221,15.71949842
g19108,0.242994454,0,0,0,0,0,0,0,0,0,0,0
g19117,16.01908479,3.400168299,2.991805238,3.597199274,6.221625856,5.486459991,4.021763637,7.082053425,4.455320211,5.740224886,4.58508739,4.463247417
g19118,15.04665102,9.373745961,15.78500854,12.30180925,16.6059958,13.35500578,71.69159886,123.3388646,76.99107122,104.1047105,91.85041534,78.39357474
g19119,0.106375255,0.334080455,4.694198857,4.08272234,6.07005128,3.822298634,6.669799968,11.26777337,4.48525394,8.093555415,7.278724946,6.539594927
g19120,3.070367989,2.096249895,9.081842088,10.0573585,10.41493204,9.761796038,8.306769398,13.99118777,7.077035375,8.954528608,8.246281366,8.079543797
g19125,0.305649975,0.300580858,0.020436254,0.019749093,0.017915963,0.026274356,0,0,0,0,0,0
g19126,0.774544823,1.812468353,0.150792509,0.291444334,0.132196094,0.086164433,0,0,0,0,0,0
g19127,3.624285211,5.201622184,0.064489878,0.18696429,0.452293556,0.055275297,0,0,0,0.124700124,0,0
g19128,5.348435832,5.052820361,0.215871382,0.695375954,1.387827068,0.925133914,5.855621634,6.034376833,2.79841744,4.174172579,9.483891286,3.07729164
g19130,0.075796435,0,0,0,0,0,0,0,0,0,0,0
g19140,0.330472458,0,0,0,0,0,0.117732075,0.443103999,0.488918909,0.234990456,0,0
g19157,1.396362498,1.827247561,0,0.372173046,0.337627584,0.66018946,0.497459473,2.574371827,1.032927273,0.248229355,0.995271662,0
g19158,74.53043958,62.34551561,37.78170473,22.95880609,39.2976368,29.85849848,36.39492722,49.69354279,46.1152437,72.35449705,48.98508022,63.5680967
g19159,1.446620682,0.504803801,0.638374514,0.719727641,0.373098186,0.364773943,2.267602226,3.103452136,2.068868924,2.194463405,1.649749915,1.930337404
g19160,0.79953014,0.502198362,0.705644086,1.022875597,0.850603687,0.756023414,2.962290924,5.413730315,3.252887903,3.581709374,6.382580853,5.258167924
g19185,0.382786631,0,0.105574163,0.204048543,0.370217119,0.271467867,0.204553799,0.449091891,0.495525921,0.272189718,0.272835089,0.136816523
g19186,0.96254114,0.31488975,0.464577569,0.256546469,0.349100366,0.284426284,0.04286362,0.080662136,0,0.128332167,0.514545787,0.430042227
g19188,5.744017229,4.810552096,1.42580171,2.112718137,2.555484794,2.96014266,0.306949211,0.423593047,0.254940335,0.183799024,0.327528566,0.328486484
g19189,0.05697801,0.298240407,0.125718199,0.121490971,0.110214062,0.053877531,0,0,0,0,0,0
g19190,0.253281811,0.416665794,0.479013869,0.462907205,0.734894493,0.478998776,0,0,0,0,0,0
g19191,0.190657187,0.439101645,1.556488013,1.748068168,1.843966034,1.225921044,1.141095498,1.712767382,0.902619524,1.03034277,1.304571471,1.253870813
g19192,6.036996868,4.592721782,11.16913956,8.834746238,12.22150559,8.651378371,6.572335211,13.37356246,7.988387621,8.612169143,5.34525628,3.645404849
g19211,1.77355523,1.253249937,2.05444678,1.512660394,2.572975862,2.3478652,0.758202989,1.456535955,0.918362888,0.851262386,0.505647857,1.141035118
g19213,6.967792788,4.793406052,3.074794512,3.926500368,3.658310124,3.388442289,0.070922937,0,0,0,0,0.284622325
g19214,0,0.852465392,0,0,0,0,5.294317139,7.915820933,3.162411834,7.780741494,5.65894709,5.093395409
g19219,1.658621238,1.638062839,7.975248266,8.908187413,11.74364227,10.59387355,12.41984202,21.0012833,13.88974173,15.06520255,13.56183305,14.09365662
g19220,7.93133899,6.57321856,4.739576112,4.815092163,7.883979222,8.541384525,10.12495847,14.25317865,9.370945756,13.55111631,15.70317511,15.11913792
g19221,5.802370468,7.049161978,3.082094293,3.665796938,3.117688237,3.386810091,12.913099,21.80302193,12.61156434,17.42053527,18.38088417,11.67527359
g19240,8.488162447,5.331557952,4.307570492,3.981741765,4.925662694,3.852612465,9.918524142,15.36447943,8.790494083,9.294999212,13.55205524,8.252097963
g19241,6.087650541,2.95885877,2.638427998,3.360983779,4.520951812,5.756388801,2.710935942,4.51849473,3.859886124,4.251472071,4.339035229,4.040888012
