Term	TERM	ONTOLOGY	gene_count	GO_Label
GO:0140640	catalytic activity, acting on a nucleic acid	MF	10	GO:0140640 – catalytic activity, acting on a nucleic acid (MF)
GO:1903506	NA	NA	10	GO:1903506 – NA (NA)
GO:2001141	regulation of RNA biosynthetic process	BP	10	GO:2001141 – regulation of RNA biosynthetic process (BP)
GO:0000280	nuclear division	BP	9	GO:0000280 – nuclear division (BP)
GO:0003677	DNA binding	MF	9	GO:0003677 – DNA binding (MF)
GO:0006259	DNA metabolic process	BP	9	GO:0006259 – DNA metabolic process (BP)
GO:0006412	translation	BP	9	GO:0006412 – translation (BP)
GO:0006520	amino acid metabolic process	BP	9	GO:0006520 – amino acid metabolic process (BP)
GO:0007165	signal transduction	BP	9	GO:0007165 – signal transduction (BP)
GO:0008168	methyltransferase activity	MF	9	GO:0008168 – methyltransferase activity (MF)
GO:0008757	S-adenosylmethionine-dependent methyltransferase activity	MF	9	GO:0008757 – S-adenosylmethionine-dependent methyltransferase activity (MF)
GO:0009893	positive regulation of metabolic process	BP	9	GO:0009893 – positive regulation of metabolic process (BP)
GO:0010604	positive regulation of macromolecule metabolic process	BP	9	GO:0010604 – positive regulation of macromolecule metabolic process (BP)
GO:0015630	microtubule cytoskeleton	CC	9	GO:0015630 – microtubule cytoskeleton (CC)
GO:0016021	NA	NA	9	GO:0016021 – NA (NA)
GO:0016071	mRNA metabolic process	BP	9	GO:0016071 – mRNA metabolic process (BP)
GO:0016741	transferase activity, transferring one-carbon groups	MF	9	GO:0016741 – transferase activity, transferring one-carbon groups (MF)
GO:0016773	phosphotransferase activity, alcohol group as acceptor	MF	9	GO:0016773 – phosphotransferase activity, alcohol group as acceptor (MF)
GO:0030234	enzyme regulator activity	MF	9	GO:0030234 – enzyme regulator activity (MF)
GO:0031224	NA	NA	9	GO:0031224 – NA (NA)
GO:0031325	positive regulation of cellular metabolic process	BP	9	GO:0031325 – positive regulation of cellular metabolic process (BP)
GO:0043043	peptide biosynthetic process	BP	9	GO:0043043 – peptide biosynthetic process (BP)
GO:0044265	NA	NA	9	GO:0044265 – NA (NA)
