,TPM_trimed_0h,TPM_trimed_16h,TPM_trimed_48h,TPM_96h,TPM_Early,TPM_Late
g155,4.034446743427747,4.940674382358275,7.239295051409929,4.5884109029908,3.9248098117579806,8.030620641031971
g156,0.0,0.32972236967146573,0.0,3.3231308716994254,3.499509409738806,0.5761866583690424
g158,0.0,0.10741579780003065,0.0,2.254796129567118,1.8315022506252554,1.0074865262817088
g161,10.428291821618004,2.3370095782943623,0.9875134644725393,4.389409942736831,2.2714446157528294,2.1774653384032616
g162,106.81704137453895,96.89714569740187,105.85297271436869,67.38904267723788,70.85082855316621,27.68896062126455
g163,0.6783244784872652,0.0,0.24299011567529605,0.732724747650524,0.15113063507288194,0.360396812439139
g164,5.373273827871991,1.2448126909159676,2.3634042718729074,3.3972305049449263,2.0331351556162676,2.0265888878552536
g165,11.874272122169344,13.179603335586439,11.392233328247979,25.12112053035427,20.41407823227759,24.93049553680624
g166,162.90376057991898,49.58963335457675,95.46669513980595,48.04187962071428,47.495238573300085,63.296682142559405
g167,49.037360968030086,26.697648673529677,5.078344670182471,26.290695370791205,21.77136991682294,18.3461840461796
g168,4.94820671027329,8.93103619870887,17.85113717321279,6.336152763211657,6.209670923057711,7.118202997257457
g169,7.646290333619043,12.159862750113076,5.812278617668406,12.505246867423214,10.33613744410064,11.150340612631984
g170,71.97307749412255,120.78338066047897,154.31806415700726,64.69897744785314,66.78642174906949,70.3204083162122
g171,4.572820987804455,6.9630038342279175,7.488604723086173,10.70899867767315,9.528391221376262,13.930469023773018
g172,2.5870142443271966,6.346718962119453,8.641913808772074,8.360774905367874,5.970100674707663,6.592935930005882
g173,24.110012331021053,42.90342600577668,99.79527830515343,122.69778182594648,162.10682377199913,223.9358377840391
g174,1.9826862295664023,0.2880428282088967,0.5906934369964906,7.955114378041192,9.138168321757078,8.527350395791974
g175,0.0,0.00987850734833325,0.0,6.290812075145812,5.740333568682139,7.8104975834287345
g176,0.0,0.10765239504010435,0.28312864306826774,0.26989142719593945,0.0,0.4177156201043933
g177,1.9155265000359487,2.581904640136724,8.141886741016243,13.279430284319664,9.882564289911201,6.661299765397468
g178,74.27832790310597,73.10516410778027,161.55175760748065,145.06532572311198,267.90104980655406,387.92092254824865
g179,30.862473565762993,8.094055143480018,13.426299027134814,24.310052846338873,47.02617658551453,41.84163175737476
g180,7.55921985593071,6.857347113975324,29.430537647354363,46.50836399044809,41.98878056184988,72.75223131615162
g181,0.6821590513467483,0.7884258571688433,7.375627027967082,6.0007313834721945,5.842660385114093,8.246870242235197
g182,2.167796947547334,1.3858025238405187,4.224450505326409,12.606655776458375,11.608384563134791,5.65211783433433
g183,1.3593735205263928,1.8265650663645425,5.652630860239389,21.35611418278098,16.449912916975606,6.40958665861902
g184,0.8083579135901725,3.0038257558471875,5.010634885410864,6.65416238467902,6.307614795507315,8.606550876127384
g185,0.18530647572044529,0.9179635961796421,2.091461383427926,5.304681765042121,4.005267313381191,6.223697822363777
g186,12.238815757809585,0.07812488097196145,0.9512218719337102,2.807459379703195,1.9138653938273662,23.551523167234244
g187,11.17612304604721,2.8663832939468907,4.961365462830756,5.150063220594928,5.889267349149961,7.013663608765519
g188,0.15021475360679484,0.0,0.2146818488180548,3.619546476898432,2.382185238515709,0.965169616612485
g189,1.578126672116917,1.3556926409920889,3.1627807544413713,9.196515359662126,7.934971023340632,3.3924556017196696
g190,1.121965028707427,2.055008972844928,5.783845219136312,22.229105551394614,15.654632467179319,6.307474170134602
g191,0.42954370702274913,1.6073516410938238,3.110434826132578,6.197808704494164,5.124386734804145,6.511526263183983
g192,11.99650252286036,0.0,1.0912583922830679,3.2347382362287886,1.8070679851337057,19.003209297168866
g193,18.63172442748919,7.939260596738568,12.989625286302502,10.699868742932669,11.029296330918172,11.455796031183262
g194,4.462921675306744,42.06319139503791,29.991246897633296,77.59407382956599,79.7737462245982,139.07205780388801
g195,28.94409383254125,58.996153672993074,45.37817308731405,64.70095908314767,58.22506253122373,67.13696731092061
g196,2.3922536748532335,23.685987920239256,18.764198567968688,38.13431709272636,49.44605361440796,53.45114465640256
g197,0.40753549290385754,0.40585145796833944,0.9625268147873527,4.717392444037751,4.89603924876528,4.856309856607444
g198,6.00915989028794,7.268253714331992,85.51628389802593,19.90586825826488,19.796510868419816,35.916370023676265
g199,18.447737177569195,38.72324166060902,35.480470581161384,42.1969525467227,34.660292156269314,37.72841503031698
g200,38.36207435370204,3.2672755098549855,4.068408115274487,8.301750141308359,5.708692873515069,8.155376685655337
g201,0.6114411908987305,0.5464830217125364,0.6306173656765015,2.8103505836188134,1.9059751996999263,3.1379259193077953
g202,51.49601759701414,268.4066590381872,219.2301553878143,71.18361094128029,103.31040242484612,78.85441760491968
g203,23.322752402447147,15.180368205807717,5.669600425696904,16.859409544684535,11.394466051520109,14.58786581788917
g204,5.877862025813592,28.21398377025722,13.017962893151676,9.184032139859124,8.841989198125855,6.452993664125444
g205,1.766446716995686,16.281563331217022,10.117220260249002,8.600188136780844,8.943873788246208,6.209271511001939
g206,104.94428142329701,32.62473497375046,51.18959120002148,41.67507398621251,37.82623265430411,69.46031222956812
g207,2.7714317855438173,0.07246360458085445,0.04737882580543605,2.2599024829262717,0.9440502960151631,3.2892246079430247
g208,1.8315781546006003,0.0,0.0,0.3383712003899384,0.20272634329412714,0.4514343405732189
g209,85.886394949723,86.17453182684727,17.056169607300305,82.42427419589471,47.02416427719204,39.52947512114863
g210,0.5746579500107846,0.2586847769606503,0.5343921892463317,2.9870303532445908,2.26993905337415,4.624807169660275
g211,5.641924157098856,6.5379825467574655,8.074251005329693,8.178660144300714,6.1964224330804925,8.39438632705912
g212,54.756884302270166,296.5970305621373,82.12335653447556,499.5733856366964,386.61505803975996,507.38465241040564
g213,7.777639493454481,9.13674404959442,4.611720884455687,16.078347055255286,10.561834317414275,13.382535921332103
g214,1090.2703189745782,1.3738592201551205,2.933794649824499,5.542750186938498,2.5469691552835667,4.506179424944417
g215,77.67259515633958,10.466910258272598,5.581295353381765,4.727034273122026,3.5010071574998287,3.8223697977297957
g216,6.202910397689075,2.9025280780085243,3.6381004887307054,14.375717579197415,12.543049926403452,6.324355016772392
g217,5.137801169685792,2.2018610428548095,1.4304851947942812,3.0091539296976433,1.8967587394105048,2.8056965199056725
g218,4.06555836224327,4.4128355681695055,2.2425077180948008,7.488682617747456,7.167545992956807,6.288346403901201
g219,3.1992993093313675,13.418063281514268,10.6166416948458,15.833189179015648,16.651883801927188,17.22782111496649
g220,10.13299144898993,7.256978195941956,5.740056005501657,13.767626288596988,15.603867671441717,17.067091635711733
g221,2.9112770461152917,3.4486232541010544,3.255814154898581,3.93563187053013,3.9914939119881,3.8901318031029817
g222,439.0301460481315,749.4936763515947,405.8163472906723,850.8705247744548,693.4982401732427,702.4502906558073
g227,0.0,0.0,0.0254194423337914,0.0,0.0,0.0
g235,0.0,0.09786772688447234,0.0,0.4423890138431416,2.128258215053477,0.5242046185044889
g247,200.00036585471167,581.9812978754385,734.8294602595505,1316.2249718436783,978.8488861435906,1382.717482911658
g248,7.817190941360208,16.383525944240333,21.275042633965334,104.03171144752936,71.80896923354292,104.50515603246544
g249,30.08036237175616,8.218643795293243,13.947997660493169,10.76717812580544,9.520071925615923,11.250884316820757
g250,21.999149344537102,23.25024767520174,10.976073693491944,26.272562997567974,23.751896501554604,20.273594646169165
g251,4.360962464170852,0.05694889279915415,1.1227506345808949,1.0655097735486818,0.4254698292276706,1.9079029619713048
g252,63.63429808286837,28.60480210728326,15.939858682381061,49.904710834146115,41.755195979589914,28.840893540279367
g253,26.897825255353542,3.6399107177061882,16.108497851891034,13.445082703807042,6.608908313357466,5.603861035169068
g254,10.57236819068972,1.3552588021082446,11.287970359386197,10.152931491063146,4.730869318656834,4.059590401684064
g255,6.1494899950538215,7.550787553837921,14.596612976058871,54.70475332154821,34.36581879942722,39.24592012554359
