anchor_location1	start1	end1	anchor1_annotation	anchor_location1	start2	end2	anchor2_annotation	loop_type	loop_size
HiC_scaffold_15	2460000	2470000	None	HiC_scaffold_15	2630000	2640000	None	Unannotated	170000
HiC_scaffold_15	2920000	2925000	None	HiC_scaffold_15	2965000	2970000	None	Unannotated	45000
HiC_scaffold_16	715000	720000	TAD_145	HiC_scaffold_16	790000	795000	Boundary	TAD-Boundary	75000
HiC_scaffold_16	915000	920000	TAD_146	HiC_scaffold_16	950000	955000	TAD_146	Intra-TAD	35000
HiC_scaffold_16	1120000	1125000	TAD_147	HiC_scaffold_16	1165000	1170000	TAD_147	Intra-TAD	45000
HiC_scaffold_16	1200000	1205000	TAD_147	HiC_scaffold_16	1325000	1330000	TAD_147	Intra-TAD	125000
HiC_scaffold_16	1370000	1380000	TAD_147	HiC_scaffold_16	1420000	1430000	TAD_147	Intra-TAD	50000
HiC_scaffold_16	1620000	1630000	TAD_147	HiC_scaffold_16	1710000	1720000	TAD_147	Intra-TAD	90000
HiC_scaffold_16	1885000	1890000	TAD_147	HiC_scaffold_16	1945000	1950000	TAD_147	Intra-TAD	60000
HiC_scaffold_16	1960000	1970000	TAD_147	HiC_scaffold_16	2430000	2440000	Boundary	TAD-Boundary	470000
HiC_scaffold_16	2440000	2450000	Boundary	HiC_scaffold_16	2570000	2580000	TAD_148	TAD-Boundary	130000
HiC_scaffold_16	2450000	2455000	Boundary	HiC_scaffold_16	2605000	2610000	TAD_148	TAD-Boundary	155000
HiC_scaffold_16	2675000	2680000	TAD_148	HiC_scaffold_16	2725000	2730000	TAD_148	Intra-TAD	50000
HiC_scaffold_17	445000	450000	TAD_149	HiC_scaffold_17	480000	485000	TAD_149	Intra-TAD	35000
HiC_scaffold_17	940000	945000	Boundary	HiC_scaffold_17	985000	990000	TAD_151	TAD-Boundary	45000
HiC_scaffold_17	1285000	1290000	TAD_153	HiC_scaffold_17	1595000	1600000	TAD_153	Intra-TAD	310000
HiC_scaffold_17	1385000	1390000	TAD_153	HiC_scaffold_17	1455000	1460000	TAD_153	Intra-TAD	70000
HiC_scaffold_17	1925000	1930000	TAD_155	HiC_scaffold_17	2040000	2045000	Boundary	TAD-Boundary	115000
HiC_scaffold_17	2230000	2235000	Boundary	HiC_scaffold_17	2270000	2275000	None	TAD-Boundary	40000
HiC_scaffold_2	210000	215000	None	HiC_scaffold_2	255000	260000	None	Unannotated	45000
HiC_scaffold_2	770000	780000	TAD_24	HiC_scaffold_2	4820000	4830000	Boundary	TAD-Boundary	4050000
HiC_scaffold_2	830000	840000	TAD_24	HiC_scaffold_2	880000	890000	TAD_24	Intra-TAD	50000
HiC_scaffold_2	840000	850000	TAD_24	HiC_scaffold_2	900000	910000	TAD_24	Intra-TAD	60000
HiC_scaffold_2	1250000	1260000	TAD_25	HiC_scaffold_2	1340000	1350000	TAD_25	Intra-TAD	90000
HiC_scaffold_2	1340000	1350000	TAD_25	HiC_scaffold_2	1400000	1410000	TAD_25	Intra-TAD	60000
HiC_scaffold_2	2565000	2570000	TAD_28	HiC_scaffold_2	2605000	2610000	TAD_28	Intra-TAD	40000
HiC_scaffold_2	2980000	2990000	TAD_29	HiC_scaffold_2	3100000	3110000	TAD_29	Intra-TAD	120000
HiC_scaffold_2	3210000	3215000	TAD_29	HiC_scaffold_2	3245000	3250000	TAD_29	Intra-TAD	35000
HiC_scaffold_2	3490000	3500000	TAD_29	HiC_scaffold_2	3550000	3560000	TAD_29	Intra-TAD	60000
HiC_scaffold_2	3635000	3640000	TAD_29	HiC_scaffold_2	3830000	3835000	Boundary	TAD-Boundary	195000
